player_link,player_name,regular_fgp,hot_fgp,num_hot_shots
/players/h/hillge01.html,George Hill,0.477,0.4756756756756757,185
/players/g/garcifr01.html,Francisco Garcia,0.27,0.1,10
/players/j/jonesja02.html,James Jones,0.368,0.3333333333333333,42
/players/a/anthoca01.html,Carmelo Anthony,0.444,0.4033898305084746,295
/players/c/caldwke01.html,Kentavious Caldwell-Pope,0.401,0.3505535055350554,271
/players/e/earlycl01.html,Cleanthony Early,0.355,0.36,50
/players/c/collida01.html,Darren Collison,0.473,0.43575418994413406,179
/players/g/greendr01.html,Draymond Green,0.443,0.44052863436123346,227
/players/d/dedmode01.html,Dewayne Dedmon,0.562,0.5151515151515151,33
/players/r/rondora01.html,Rajon Rondo,0.426,0.3817204301075269,186
/players/p/plumlma01.html,Mason Plumlee,0.573,0.5902777777777778,144
/players/w/walkeke02.html,Kemba Walker,0.385,0.35906040268456374,298
/players/f/freeljo01.html,Joel Freeland,0.49,0.5714285714285714,35
/players/p/perkike01.html,Kendrick Perkins,0.449,0.48717948717948717,39
/players/v/vucevni01.html,Nikola Vucevic,0.523,0.5236139630390144,487
/players/l/linje01.html,Jeremy Lin,0.424,0.44623655913978494,186
/players/t/thompkl01.html,Klay Thompson,0.463,0.47890295358649787,474
/players/k/kilpase01.html,Sean Kilpatrick,0.35,1.0,4
/players/r/rosste01.html,Terrence Ross,0.41,0.40540540540540543,222
/players/g/gibsota01.html,Taj Gibson,0.502,0.5273972602739726,146
/players/r/roberbr01.html,Brian Roberts,0.389,0.43119266055045874,109
/players/p/pargoja01.html,Jannero Pargo,0.429,0.23076923076923078,13
/players/n/nealga01.html,Gary Neal,0.374,0.3524590163934426,122
/players/w/wadedw01.html,Dwyane Wade,0.47,0.4913151364764268,403
/players/c/conlemi01.html,Mike Conley,0.446,0.41471571906354515,299
